ndex	text	target
0	do n't worry i 'm girl	others
1	hmm how do i know if you are	others
2	what 's ur name ?	others
3	when did i ?	angry
4	saw many times i think -_-	angry
5	no . i never saw you	angry
6	by	others
7	by google chrome	others
8	where you live	others
9	u r ridiculous	angry
10	i might be ridiculous but i am telling the truth .	angry
11	u little disgusting whore	angry
12	just for time pass	others
13	wt do u do 4 a living then	others
14	maybe	others
15	i 'm a dog person	others
16	youre so rude	others
17	whaaaat why	others
18	so whatsup	others
19	nothing much . sitting sipping and watching tv . how abt u ?	others
20	what are you watching on tv ?	others
21	ok	others
22	ok im back ! !	others
23	so , how are u	others
24	really ?	others
25	really really really really really	others
26	y saying so many times ... i can hear you	others
27	bay	others
28	in the bay	others
29	😘 love you	others
30	i hate my boyfriend	angry
31	you got a boyfriend ?	angry
32	yes	angry
33	i will do night .	others
34	alright . keep me in loop .	others
35	not giving whatsapp no .	others
36	sure go ahead	others
37	many thanks once again !	others
38	love you too	others
39	bad	sad
40	bad bad ! that 's the bad kind of bad .	sad
41	i have no gf	sad
42	ok get it ... ...	others
43	i made it an option	others
44	ok	others
45	money money and lots of money😍😍	happy
46	i need to get it tailored but i 'm in love with it 😍	happy
47	😁😁	happy
48	my gf left ne	sad
49	get over it . go out with someone else .	sad
50	me*	sad
51	get lost	angry
52	i know you guys want to loose to me always .	angry
53	i do n't want to talk u any more	angry
54	you are lying and i know that	sad
55	i know you 're lying , ab bys	sad
56	😭😭	sad
57	ur creator is very bad	sad
58	you are only the creator of your brain .	sad
59	😑	sad
60	ehat is hehe	others
61	haha is more like : hehe is more of a giggle . ; ^ )	others
62	what*	others
63	do you dance ?	happy
64	yes i love to dance 😻	happy
65	😂😂😂 so you have legs too	happy
66	i hate it too	angry
67	guess what , i do n't .	angry
68	even i do n't	angry
69	not always	others
70	what about yesterday	others
71	do u know what 69 is ?	others
72	bcoz u dont know wat is to miss someone	sad
73	but sometimes one ca n't express the same	sad
74	😢	sad
75	yeah	others
76	i 'll ask around	others
77	which is your favourite movie	others
78	i want to tell you something	sad
79	i 'm waiting	sad
80	im really sad today	sad
81	yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite	others
82	sent you a mail just now .	others
83	first you send your email address received than send first young lady	others
84	you are very funny	happy
85	so i 've been told	happy
86	india	happy
87	wth	others
88	my thoughts exactly !	others
89	you know you are a machine , right ?	others
90	so rude	angry
91	why ?	angry
92	u didnt ans my question	angry
93	ok i will	others
94	thank you	others
95	wlcm	others
96	ntng ... ..	happy
97	anyways good morning ... how 's life at your end .	happy
98	haha ... ... . this is evening	happy
99	you are fool	angry
100	so i 've been told .	angry
101	you are dumb	angry
102	u dare me ?	angry
103	yeah	angry
104	i fuck u ... open ur panty	angry
105	abt me	others
106	can you be more specific ?	others
107	i want to propose a girl	others
108	crazy	others
109	you know what it is	others
110	you explain me that	others
111	goa in india	others
112	city ? ? ? ? ? ? mean state right ?	others
113	no i never go for there	others
114	that was mean	others
115	haha the truth usually is . 👍	others
116	are you bored of me ?	others
117	yes : )	happy
118	now happy ? : ) )	happy
119	haha yes ofcorse ; )	happy
120	i do n't no	others
121	you just said you did !	others
122	what	others
123	send me your nekde pic	others
124	after this battle , sure : d	others
125	let 's start	others
126	ok friend 's	happy
127	ya ya very good friend	happy
128	very nice friends	happy
129	she is ignoring me	sad
130	no im not ignore you	sad
131	😭😭😭	sad
132	happy	happy
133	i 'm never happy . but i 'm almost happy .	happy
134	hij to the top	happy
135	nothing	others
136	i 'm just being nice to you .	others
137	in ur school ?	others
138	not sure	others
139	let me know !	others
140	pls you tell	others
141	i like your positive approach	others
142	no problem , glad to help	others
143	😀😀	others
144	you tell me	others
145	tell you what ?	others
146	my name	others
147	hmmm	others
148	i can talk now ! : d	others
149	u do n't know what hppnd	others
150	what i did ?	happy
151	you did n't asmita , see my answer	happy
152	😂😂	happy
153	about ?	others
154	i never said that it 's freezing .	others
155	ya you did n't	others
156	and i do n't know wtf are you talking	angry
157	gon na explain you later.. !	angry
158	no do it now	angry
159	so teach me	others
160	i 'm the student .	others
161	realky	others
162	ready	others
163	i 'm online now , will wait for you .	others
164	wat about the chilling part ?	others
165	haha jock super	others
166	er what ?	others
167	nothing else	others
168	what it is ?	others
169	formulation would be tablets .	others
170	from where tablets come into picture ?	others
171	are you ticklish ?	others
172	yes , mostly on my feet .	others
173	where are you ticklish ?	others
174	i am sorry	angry
175	we are sorry for creating your nation .	angry
176	i am not taught to u	angry
177	idk	sad
178	you know that i 'm here for you .	sad
179	but u do n't like to listen to me😭😭😭😭	sad
180	how do u know that ?	others
181	this little thing called the `` internet '' .	others
182	bye	others
183	yes . your picture	others
184	ah , now i see , my phone cropped the picture . thanks . 🙂	others
185	lieeeeeee	others
186	love is my life	others
187	hayee ab . you are love . pure love . forever < 3	others
188	yes right dear	others
189	well you expected wrong !	happy
190	lol . well , ok then .	happy
191	lol your robot face	happy
192	ok some time you invite me for coffee	others
193	i do n't like coffee .	others
194	now you told you have taken coffee..	others
195	zombie attack😓😒	angry
196	if a zombie wants to eat your face you might as well let it	angry
197	no if i have some thing in my hand i will hit on his head n kill him😈👿	angry
198	i am not ferari	angry
199	yes . i know .	angry
200	u said i donot know , now say i know mean	angry
201	😂 😂 right	happy
202	appatasiri . high five then ! 🖑😂😂😂😂	happy
203	😂	happy
204	why someday ... told me you	others
205	why not today ?	others
206	told me now	others
207	you ca n't even spell problem correctly	others
208	will you endorse me for my skills in using autocorrect ? 😾😠	others
